tier;score;distance;vocab_id;vocab_type;vocab_label;vocab_lang;artwork_count;edm_uri;edm_pref_label;edm_alt_label;edm_all_alts;already_in_db;notes
5;0.871;2;311190543;organisation;Meurs, Jacob van;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.165261;Geuns, Jacob van;Geuns, Jakob van;Geuns, Jakob van;false;fuzzy token_set=86.66666666666667, ratio=87.5
5;0.939;2;31177855;organisation;Ministerie van Buitenlandse Zaken;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.1089;Ministerie van Binnenlandse Zaken;Departement van Binnenlandse Zaken;Departement van Binnenlandse Zaken;false;fuzzy token_set=93.93939393939394, ratio=93.93939393939394
5;0.932;3;311172569;organisation;Ministerie van Buitenlandse Zaken.;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.1089;Ministerie van Binnenlandse Zaken;Departement van Binnenlandse Zaken;Departement van Binnenlandse Zaken;false;fuzzy token_set=93.93939393939394, ratio=92.53731343283582
5;0.946;1;311193057;organisation;Mortier, Pieter (III);en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.53232;Mortier, Pieter (I);Mortier, Pierre;"Mortier, Pierre; Mortier, Pieter";false;fuzzy token_set=94.11764705882354, ratio=95.0
5;0.946;1;311193057;organisation;Mortier, Pieter (III);en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.53232;Mortier, Pieter (I);Mortier, Pieter;"Mortier, Pierre; Mortier, Pieter";false;fuzzy token_set=94.11764705882354, ratio=95.0
5;0.837;3;311193057;organisation;Mortier, Pieter (III);en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.16951;Mulier, Pieter (II);Mulier, Pieter (de Jonge);Mulier, Pieter (de Jonge);false;fuzzy token_set=82.35294117647058, ratio=85.0
5;0.974;1;311193057;organisation;Mortier, Pieter (III);en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.119324;Mortier, Pieter (II);Mortier, Pierre (II);Mortier, Pierre (II);false;fuzzy token_set=97.14285714285714, ratio=97.5609756097561
5;0.877;4;311192223;organisation;Mortier, Pieter (III, wed.);en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.119324;Mortier, Pieter (II);Mortier, Pierre (II);Mortier, Pierre (II);false;fuzzy token_set=90.3225806451613, ratio=85.1063829787234
5;0.885;4;21049548;group;Nederlandse Heide Maatschappij;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.92654;Nederlandse Handelsmaatschappij;NHM;NHM;false;fuzzy token_set=88.52459016393442, ratio=88.52459016393442
5;0.900;3;31183108;organisation;Nederlandse Heidemaatschappij;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.92654;Nederlandse Handelsmaatschappij;NHM;NHM;false;fuzzy token_set=90.0, ratio=90.0
5;0.913;2;21059741;group;Oost-Indische Compagnie;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.86562;West-Indische Compagnie;WIC;WIC;false;fuzzy token_set=91.30434782608695, ratio=91.30434782608697
5;0.934;4;21059741;group;Oost-Indische Compagnie;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.154147;Britse Oost-Indische Compagnie;East India Company;East India Company;false;fuzzy token_set=100.0, ratio=86.79245283018868
5;0.863;4;311173105;organisation;Ostpreussisches Landesmuseum;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.135926;Hessisches Landesmuseum;Grossherzogliches Museum Darmstadt;Grossherzogliches Museum Darmstadt;false;fuzzy token_set=86.27450980392157, ratio=86.27450980392157
